,website,url,headline,entities
0,CNN,https://edition.cnn.com/world/live-news/coronavirus-pandemic-04-28-20-intl/index.html,What you need to know,[]
1,CNN,https://edition.cnn.com/world/live-news/coronavirus-pandemic-04-28-20-intl/index.html,Portugal will end state of emergency this week,"[('Portugal', 'GPE'), ('this week', 'DATE')]"
2,CNN,https://edition.cnn.com/world/live-news/coronavirus-pandemic-04-28-20-intl/index.html,Scottish government recommends wearing face coverings in public places,"[('Scottish', 'NORP')]"
3,CNN,https://edition.cnn.com/world/live-news/coronavirus-pandemic-04-28-20-intl/index.html,"125,000 birthday cards sent to war veteran who raised millions for UK's health service","[('125,000', 'CARDINAL'), ('millions', 'CARDINAL'), ('UK', 'GPE')]"
4,CNN,https://edition.cnn.com/world/live-news/coronavirus-pandemic-04-28-20-intl/index.html,Just joining us? Here are the key updates you've missed,[]
5,CNN,https://edition.cnn.com/world/live-news/coronavirus-pandemic-04-28-20-intl/index.html,"""Unfair and irresponsible"" to label Chinese products ""faulty,"" says China after India cancels testing kit order","[('Chinese', 'NORP'), ('China', 'GPE'), ('India', 'GPE')]"
6,CNN,https://edition.cnn.com/world/live-news/coronavirus-pandemic-04-28-20-intl/index.html,"Lewis Hamilton says he misses Formula 1 racing ""every day""","[('Lewis Hamilton', 'PERSON'), ('Formula 1', 'PRODUCT')]"
7,CNN,https://edition.cnn.com/world/live-news/coronavirus-pandemic-04-28-20-intl/index.html,Former New Zealand PM says early ban on Chinese travellers helped curb spread of outbreak,"[('New Zealand', 'GPE'), ('Chinese', 'NORP')]"
8,CNN,https://edition.cnn.com/world/live-news/coronavirus-pandemic-04-28-20-intl/index.html,New figures reveal scale of job losses in Spain due to outbreak ,"[('Spain', 'GPE')]"
9,CNN,https://edition.cnn.com/world/live-news/coronavirus-pandemic-04-28-20-intl/index.html,Black barbershop owners are divided over coronavirus social distancing,[]
10,NBC,https://www.nbcnews.com/health/coronavirus,Trump lays out new testing 'blueprint' as states weigh reopening,[]
11,NBC,https://www.nbcnews.com/health/coronavirus,Live Blog / Latest news on the global pandemic,[]
12,NBC,https://www.nbcnews.com/health/coronavirus,America's best Instagram quarantine celebrity is a 64-year-old Southern gay man,"[('America', 'GPE'), ('Instagram', 'ORG'), ('Southern', 'NORP')]"
13,NBC,https://www.nbcnews.com/health/coronavirus,America's obsession with Trump lets health officials like Dr. Fauci off the hook,"[('America', 'GPE'), ('Trump', 'GPE'), ('Fauci', 'PERSON')]"
14,NBC,https://www.nbcnews.com/health/coronavirus,Those 'COVID-19' weight gain jokes reveal the toxic power of diet culture,[]
15,NBC,https://www.nbcnews.com/health/coronavirus,"In a plagued stretch of Louisiana known as Cancer Alley, coronavirus compounds deaths","[('Louisiana', 'GPE'), ('Cancer Alley', 'PERSON')]"
16,NBC,https://www.nbcnews.com/health/coronavirus,Coronavirus forces America's musicians down a new and delightful path,"[('America', 'GPE')]"
17,NBC,https://www.nbcnews.com/health/coronavirus,"Prisons overwhelmed, inmates terrified and social dynamics changing behind bars",[]
